id,user_name,user_address,user_city,user_phone,process_status,date_created
310,ritz-carlton restaurant,81 peachtree st,lan,404-659-0400,processed,2016-08-30 14:18:10
311,oulous,93-b peachtree rd,lan,404-351-9533,processed,2020-11-09 16:17:43
312,veni vidi vici,1 14th st,lan,404-875-8424,processed,2016-08-12 11:53:43
313,alain rondelli,26 clement st,an francisc,415-387-0408,processed,2022-04-09 19:11:14
314,qu,52 california st,an francisc,415-956-9662,processed,2015-09-17 06:53:30
315,oulevar, mission st,an francisc,415-543-6084,processed,2020-10-12 13:27:35
316,cafe claude, claude ln,an francisc,415-392-3505,processed,2019-08-01 12:00:22
317,campton place,40 stockton st,an francisc,415-955-5555,processed,2018-05-05 07:26:43
318,chez michel,04 north point st,an francisc,415-775-7036,processed,2017-02-10 22:04:58
319,fleur de lys,77 sutter st,an francisc,415-673-7779,processed,2018-07-13 08:59:03
320,ringal,70 fourth st,an francisc,415-543-0573,processed,2017-11-22 03:37:51
321,hawthorne lane,2 hawthorne st,an francisc,415-777-9779,processed,2019-02-27 17:49:47
322,khan toke thai house,937 geary blvd,an francisc,415-668-6654,processed,2021-02-10 23:42:37
323,la folie,316 polk st,an francisc,415-776-5577,processed,2018-05-22 13:21:05
324,lulu restaurant-bis-cafe,16 folsom st,an francisc,415-495-5775,processed,2020-10-27 12:00:50
325,masas,48 bush st,an francisc,415-989-7154,processed,2020-10-04 09:20:33
326,ifun,737 post st,an francisc,415-922-0337,processed,2021-01-14 10:21:38
327,plumpjack cafe,127 fillmore st,an francisc,415-563-4755,processed,2020-05-04 05:54:56
328,ostri,45 post st,an francisc,415-776-7825,processed,2016-12-05 21:02:39
329,ritz-carlton dining room (san francisco),00 stockton st,an francisc,415-296-7465,processed,2019-04-18 22:51:04
330,rose pistola,32 columbus ave,an francisc,415-399-0499,processed,2021-10-16 08:19:39
331,ritz-carlton cafe (atlanta),81 peachtree st,lan,404-659-0400,processed,2023-10-18 18:44:53
534,arnie mortons of chicago,35 s. la cienega blv,os angele,310/246-1501,processed,2017-04-02 07:41:39
535,arts delicatessen,2224 ventura blvd,tudio cit,818/762-1221,processed,2023-04-11 01:06:07
536,hotel bel-air,01 stone canyon rd,el ai,310/472-1211,processed,2017-09-09 23:23:36
537,cafe bizou,4016 ventura blvd,herman oak,818/788-3536,processed,2017-06-29 15:36:26
538,ampanil,24 s. la brea ave,os angele,213/938-1447,processed,2019-07-29 08:15:29
539,chinois on main,709 main st,anta monic,310/392-9025,processed,2017-06-28 09:18:14
540,itru,703 melrose ave,os angele,213/857-0034,processed,2020-05-29 19:58:57
541,eni,358 sunset blvd. wes,llywo,213/848-6677,processed,2021-03-26 16:35:11
542,ranit,3725 w. malibu rd,li,310/456-0488,processed,2015-12-20 01:42:37
543,grill on the alley,560 dayton wa,os angele,310/276-0615,processed,2019-12-07 19:51:27
544,restaurant katsu,972 n. hillhurst ave,os angele,213/665-1891,processed,2019-12-02 09:38:36
545,lorangerie,03 n. la cienega blvd,os angele,310/652-9770,processed,2023-08-12 05:41:22
546,le chardonnay,284 melrose ave,os angele,213/655-8880,processed,2015-07-07 21:39:40
547,locanda veneta,rd st,os angele,310/274-1893,processed,2023-05-16 20:03:46
548,atsuhis,29 n. la cienega blvd,everly hill,310/659-9639,processed,2024-03-28 20:26:10
549,the palm,001 santa monica blvd,os angele,310/550-8811,processed,2023-03-30 10:27:47
550,atin,955 melrose ave,os angele,213/467-1108,processed,2023-05-15 17:53:57
551,philippes the original,001 n. alameda st,os angele,213/628-3781,processed,2015-10-16 01:33:17
552,pinot bistro,2969 ventura blvd,os angele,818/990-0500,processed,2021-02-17 00:05:02
553,rex il ristorante,17 s. olive st,os angele,213/627-2300,processed,2022-01-24 09:49:40
554,pag,114 horn ave,os angele,310/652-4025,processed,2024-02-11 01:04:13
555,alentin,115 pico blvd,anta monic,310/829-4313,processed,2023-11-21 17:02:07
556,yujean kangs gourmet chinese cuisine,7 n. raymond ave,os angele,818/585-0855,processed,2023-10-06 15:50:57
557,21 club,1 w. 52nd st,ew yor,212/582-7200,processed,2015-05-11 17:14:48
558,quavi,3 w. 54th st,ew yor,212/307-7311,processed,2019-08-20 10:35:24
559,ureol,4 e. 61st st,ew yor,'212/ 319-1660',processed,2020-07-25 00:29:41
560,cafe lalo,01 w. 83rd st,ew yor,212/496-6031,processed,2018-10-07 10:09:34
561,cafe des artistes, w. 67th st,ew yor,212/877-3500,processed,2020-03-22 05:21:55
562,carmines,450 broadway  between 90th and 91st sts,ew yor,212/362-2200,processed,2017-06-28 18:02:26
563,carnegie deli,54 7th ave.  between 54th and 55th sts,ew yor,212/757-2245,processed,2018-10-09 22:27:16
564,hanterell, harrison st.  near hudson st,ew yor,212/966-6960,processed,2023-08-21 22:37:58
565,anie,0 e. 76th st,ew yor,212/288-0033,processed,2019-03-25 07:49:08
566,awa,10 e. 58th st,ew yor,212/355-7555,processed,2023-07-15 19:32:36
567,elidi,43 e. 58th st,ew yor,212/758-1479,processed,2015-09-05 18:51:55
568,four seasons grill room,9 e. 52nd st,ew yor,212/754-9494,processed,2021-05-10 12:18:44
569,gotham bar & grill,2 e. 12th st,ew yor,212/620-4020,processed,2022-10-04 21:56:06
570,gramercy tavern,2 e. 20th st.  between park ave. s and broadwa,ew yor,212/477-0777,processed,2018-10-02 21:38:41
571,island spice,02 w. 44th st,ew yor,212/765-1737,processed,2016-10-31 03:10:56
572,jo jo,60 e. 64th st,ew yor,212/223-5656,processed,2018-01-06 00:18:47
573,la caravelle,3 w. 55th st,ew yor,212/586-4252,processed,2020-08-18 08:57:16
574,la cote basque,0 w. 55th st.  between 5th and 6th ave,ew yor,212/688-6525,processed,2022-04-19 07:12:47
575,le bernardin,55 w. 51st st,ew yor,212/489-1515,processed,2019-03-10 08:56:38
576,les celebrites,60 central park ,ew yor,212/484-5113,processed,2019-11-04 08:39:08
577,espinass, e. 55th st,ew yor,212/339-6719,processed,2018-09-05 01:43:45
578,utec,49 e. 50th st,ew yor,212/752-2225,processed,2024-02-11 01:33:20
579,manhattan ocean club,7 w. 58th st,ew yor,'212/ 371-7777',processed,2022-11-19 09:50:53
580,arc,05 e. 58th st,ew yor,212/754-6272,processed,2021-03-27 09:48:27
581,mesa grill,02 5th ave.  between 15th and 16th sts,ew yor,212/807-7400,processed,2016-07-21 00:38:12
582,mi cocina,7 jane st.  off hudson st,ew yor,212/627-8273,processed,2015-08-26 13:33:54
583,ontrache,39 w. broadway  between walker and white sts,ew yor,'212/ 219-2777',processed,2016-04-07 21:42:42
584,cean,5 e. 54th st,ew yor,212/759-5941,processed,2016-09-15 02:33:24
585,park avenue cafe,00 e. 63rd st,ew yor,212/644-1900,processed,2022-04-02 18:25:16
586,etrossia,82 w. 58th st,ew yor,212/245-2214,processed,2017-09-15 01:04:20
587,icholin,5 w. 64th st,ew yor,212/724-8585,processed,2019-10-13 09:27:11
588,isce,5 ave. a at 6th st,ew yor,212/260-6660,processed,2015-07-14 13:54:03
589,rainbow room,0 rockefeller plaz,ew yor,212/632-5000,processed,2021-05-14 13:15:28
590,river cafe, water st. at the east rive,ookl,718/522-5200,processed,2021-12-30 04:13:12
591,san domenico,40 central park ,ew yor,212/265-5959,processed,2022-06-14 23:37:20
592,second avenue deli,56 2nd ave. at 10th st,ew yor,212/677-0606,processed,2015-12-07 03:47:52
593,eryn,1 e. 53rd st,ew yor,212/980-9393,processed,2018-09-15 01:18:15
594,shun lee west,3 w. 65th st,ew yor,212/371-8844,processed,2020-11-16 09:59:50
595,sign of the dove,110 3rd ave. at 65th st,ew yor,212/861-8080,processed,2015-06-24 18:14:18
596,smith & wollensky,01 e. 49th st,ew yor,212/753-1530,processed,2020-02-14 03:58:41
597,tavern on the green,n central park at 67th st,ew yor,212/873-3200,processed,2017-12-02 08:31:30
598,uncle nicks,47 9th ave.  between 50th and 51st sts,ew yor,212/315-1726,processed,2022-03-29 02:38:52
599,union square cafe,1 e. 16th st,ew yor,212/243-4020,processed,2020-09-01 15:42:17
600,virgils,52 w. 44th st,ew yor,'212/ 921-9494',processed,2022-10-18 04:35:56
601,chins,200 las vegas blvd. ,as vega,702/733-8899,processed,2017-01-03 13:19:12
602,coyote cafe,799 las vegas blvd. ,as vega,702/891-7349,processed,2018-12-23 09:41:27
603,le montrachet,000 w. paradise rd,as vega,702/732-5111,processed,2021-03-06 06:30:40
604,palace court,570 las vegas blvd. ,as vega,702/731-7547,processed,2021-04-19 07:13:50
605,second street grille,00 e. fremont st,as vega,702/385-3232,processed,2021-12-05 15:14:47
606,steak house,880 las vegas blvd. ,as vega,702/734-0410,processed,2017-06-23 05:44:01
607,illerma,245 e. flamingo rd,as vega,702/731-4036,processed,2021-12-30 14:06:02
608,bruzz,355 peachtree rd.  peachtree battle shopping cente,lan,404/261-8186,processed,2017-01-11 09:35:03
609,acchanali,125 piedmont rd.  near peachtree rd,lan,404/365-0410,processed,2021-09-12 12:48:19
610,bones,130 piedmont roa,lan,404/237-2663,processed,2021-03-05 06:32:12
611,brasserie le coze,393 peachtree rd.  lenox square mall  near neiman marcu,lan,404/266-1440,processed,2021-04-14 07:29:01
612,buckhead diner,073 piedmont roa,lan,404/262-3336,processed,2016-07-06 17:07:10
613,iboulett,529 piedmont ave,lan,404/874-7600,processed,2021-03-06 15:16:24
614,electable, margaret mitchell sq,lan,404/681-2909,processed,2017-04-04 03:37:13
615,georgia grille,290 peachtree rd.  peachtree square shopping cente,lan,404/352-3517,processed,2019-10-08 03:47:31
616,hedgerose heights inn,90 e. paces ferry rd,lan,404/233-7673,processed,2018-10-23 19:15:41
617,heera of india,95 piedmont ave.  rio shopping mal,lan,404/876-4408,processed,2022-06-16 08:32:35
618,indigo coastal grill,397 n. highland ave,lan,404/876-0676,processed,2019-09-09 20:14:51
619,la grotta,637 peachtree rd.  peachtree house condominiu,lan,404/231-1368,processed,2020-04-26 23:39:03
620,mary macs tea room,24 ponce de leon ave,lan,404/876-1800,processed,2023-05-19 09:29:59
621,nikolais roof,55 courtland st.  at harris st,lan,404/221-6362,processed,2021-11-10 18:47:38
622,panos and pauls,232 w. paces ferry rd,lan,404/261-3662,processed,2019-05-12 02:06:38
623,cafe  ritz-carlton  buckhead,434 peachtree rd,lan,404/237-2700,processed,2019-07-11 13:12:49
624,dining room  ritz-carlton  buckhead,434 peachtree rd,lan,404/237-2700,processed,2020-11-15 15:16:34
625,restaurant  ritz-carlton  atlanta,81 peachtree st,lan,404/659-0400,processed,2024-02-22 09:43:00
626,oulous, peachtree rd,lan,404/351-9533,processed,2016-11-01 20:03:17
627,veni vidi vici,1 14th st,lan,404/875-8424,processed,2015-03-23 06:25:03
628,alain rondelli,26 clement st,an francisc,415/387-0408,processed,2020-09-08 04:59:01
629,qu,52 california st,an francisc,415/956-9662,processed,2017-03-05 14:32:01
630,oulevar, mission st,an francisc,415/543-6084,processed,2019-08-24 21:53:03
631,cafe claude, claude la,an francisc,415/392-3505,processed,2023-08-31 20:43:48
632,campton place,40 stockton st,an francisc,415/955-5555,processed,2018-10-15 21:36:02
633,chez michel,04 northpoin,an francisc,415/775-7036,processed,2018-03-23 03:17:51
634,fleur de lys,77 sutter st,an francisc,415/673-7779,processed,2017-10-10 11:40:45
635,ringal,70 4th st,an francisc,415/543-0573,processed,2022-03-08 13:29:37
636,hawthorne lane,2 hawthorne st,an francisc,415/777-9779,processed,2021-03-27 07:46:37
637,khan toke thai house,937 geary blvd,an francisc,415/668-6654,processed,2023-11-27 04:58:42
638,la folie,316 polk st,an francisc,415/776-5577,processed,2018-05-03 12:22:19
639,ul,16 folsom st,an francisc,415/495-5775,processed,2023-10-17 15:53:46
640,masas,48 bush st,an francisc,415/989-7154,processed,2020-11-24 08:45:06
641,mifune japan center  kintetsu building,737 post st,an francisc,415/922-0337,processed,2023-01-24 02:49:24
642,plumpjack cafe,201 fillmore st,an francisc,415/563-4755,processed,2015-01-04 06:13:52
643,ostri,45 post st,an francisc,415/776-7825,processed,2018-01-10 23:06:09
644,ritz-carlton restaurant and dining room,00 stockton st,an francisc,415/296-7465,processed,2016-04-17 13:45:57
645,rose pistola,32 columbus ave,an francisc,415/399-0499,processed,2015-04-04 23:18:23
646,ol,3 e. 22nd st,ew yor,212/228-2200,processed,2023-05-03 18:24:18
647,il nido,51 e. 53rd st,ew yor,212/753-8450,processed,2017-10-09 14:03:53
648,em,45 w. 53rd st,ew yor,212/581-4242,processed,2017-11-04 01:48:12
649,adrianos ristorante,930 beverly glen circl,os angele,310/475-9807,processed,2016-04-09 04:45:59
650,barney greengrass,570 wilshire blvd,everly hill,310/777-5877,processed,2023-07-04 22:29:51
651,eaurivag,6025 pacific coast hwy,li,310/456-5733,processed,2016-01-20 23:16:51
652,bistro garden,76 n. canon dr,os angele,310/550-3900,processed,2024-01-28 22:59:45
653,border grill,th st,os angele,310/451-1655,processed,2022-08-20 20:36:33
654,broadway deli,rd st. promenad,anta monic,310/451-0616,processed,2021-12-18 23:05:20
655,cabrea,46 s. la brea ave,os angele,213/938-2863,processed,2023-12-24 05:47:29
656,cadel sol,100 cahuenga blvd,os angele,818/985-4669,processed,2021-01-28 16:05:24
657,cafe pinot,00 w. fifth st,os angele,213/239-6500,processed,2018-01-31 17:45:08
658,california pizza kitchen,07 s. beverly dr,os angele,310/275-1101,processed,2020-02-21 04:59:31
659,canters,19 n. fairfax ave,os angele,213/651-2030.,processed,2015-07-03 18:33:27
660,av,rd st,os angele,213/658-8898,processed,2018-05-27 09:20:32
661,cha cha cha,56 n. virgil ave,os angele,213/664-7723,processed,2021-06-30 19:13:02
662,chan dara,10 n. larchmont blvd,os angele,213/467-1052,processed,2020-07-28 06:17:45
663,clearwater cafe,68 w. colorado blvd,os angele,818/356-0959,processed,2023-07-04 09:05:57
664,dining room,500 wilshire blvd,os angele,310/275-5200,processed,2021-01-23 18:20:58
665,ive,0250 santa monica blvd,os angele,310/788-,processed,2020-07-20 14:36:46
666,rag,628 wilshire blvd,anta monic,310/828-1585,processed,2020-11-13 23:39:12
667,drais,30 n. la cienega blvd,os angele,310/358-8585,processed,2021-01-07 22:11:44
668,dynasty room,30 hilgard ave,os angele,310/208-8765,processed,2016-12-06 21:02:25
669,clips,800 melrose ave,os angele,310/724-5959,processed,2015-09-16 15:01:16
670,ed debevics,34 n. la cieneg,os angele,310/659-1952,processed,2024-03-29 03:23:54
671,el cholo,121 s. western ave,os angele,213/734-2773,processed,2023-05-26 05:40:08
672,gillilands,424 main st,anta monic,310/392-3901,processed,2021-12-03 09:36:42
673,gladstones, fish 17300 pacific coast hwy. at sunset blvd,acific palisade,310/454-3474,processed,2022-04-06 20:18:29
674,hard rock cafe,600 beverly blvd,os angele,310/276-7605,processed,2015-04-05 19:16:50
675,harrys bar & american grill,020 ave. of the star,os angele,310/277-2333,processed,2021-03-23 09:02:59
676,il fornaio cucina italiana,01 n. beverly dr,os angele,310/550-8330,processed,2016-02-06 23:55:43
677,jack sprats grill,0668 w. pico blvd,os angele,310/837-6662,processed,2018-01-17 00:04:37
678,jacksons farm,39 n. beverly driv,os angele,310/273-5578,processed,2024-01-14 11:24:13
679,jimmys,01 moreno dr,os angele,310/552-2394,processed,2019-06-16 02:30:24
680,os,255 sunset blvd,os angele,310/276-1886,processed,2022-09-06 08:22:40
681,le colonial,783 beverly blvd,os angele,310/289-0660,processed,2016-12-13 09:13:56
682,le dome,720 sunset blvd,os angele,310/659-6919,processed,2017-05-16 02:44:04
683,louises trattoria,500 los feliz blvd,os angele,213/667-0777,processed,2021-06-29 21:46:29
684,mon kee seafood restaurant,79 n. spring st,os angele,213/628-6717,processed,2021-10-19 03:18:13
685,mortons,764 melrose ave,os angele,310/276-5205,processed,2015-03-20 04:59:01
686,nate n als,14 n. beverly dr,os angele,310/274-0101,processed,2020-07-14 14:57:32
687,icol,01 s. figueroa st,os angele,213/485-0927,processed,2024-03-10 21:01:23
688,ocean avenue,401 ocean ave,anta monic,310/394-5669,processed,2021-12-04 08:05:20
689,rlean,1705 national blvd,os angele,310/479-4187,processed,2021-02-18 23:23:25
690,pacific dining car,th st,os angele,213/483-6000,processed,2023-02-25 23:34:33
691,patys,0001 riverside dr,oluca lak,818/761-9126,processed,2016-11-25 07:05:27
692,pinot hollywood,448 n. gower st,os angele,213/461-8800,processed,2020-11-03 10:04:53
693,ost,4928 ventura blvd,herman oak,818/784-4400,processed,2016-05-31 22:32:16
694,reg,62 n. camden dr,os angele,310/277-7346,processed,2016-05-29 08:28:05
695,rjs the rib joint,52 n. beverly dr,os angele,310/274-7427,processed,2015-02-21 22:16:09
696,em,rd st. promenad,anta monic,310/393-6545,processed,2024-03-28 22:51:15
697,restaurant horikawa,11 s. san pedro st,os angele,213/680-9355,processed,2020-01-20 18:14:47
698,roscoes house of chicken n waffles,514 n. gower st,os angele,213/466-9329,processed,2020-10-23 09:10:33
699,schatzi on main,110 main st,os angele,310/399-4800,processed,2021-10-08 11:37:12
700,of,rd st,os angele,213/651-0346,processed,2023-12-26 08:50:58
701,winger,020 beverly blvd,os angele,213/653-5858,processed,2017-05-25 09:14:17
702,tavola calda,371 melrose ave,os angele,213/658-6340,processed,2015-05-02 01:06:56
703,the mandarin,30 n. camden dr,os angele,310/859-0926,processed,2020-10-11 21:40:32
704,tommy tangs,313 melrose ave,os angele,213/937-5733,processed,2024-03-08 17:52:37
705,tra di noi,835 cross creek rd,os angele,310/456-0169,processed,2020-10-06 12:44:04
706,trader vics,876 wilshire blvd,os angele,310/276-6345,processed,2020-03-09 05:27:07
707,id,930 north hillhurst ave,os feli,213/660-4446,processed,2018-07-27 05:53:25
708,west beach cafe,0 n. venice blvd,os angele,310/823-5396,processed,2021-03-02 00:50:28
709,20 mott,0 mott st.  between bowery and pell st,ew yor,212/964-0380,processed,2016-08-19 11:10:25
710,9 jones street, jones st,ew yor,212/989-1220,processed,2019-06-01 11:38:57
711,drienn,00 5th ave. at 55th st,ew yor,212/903-3918,processed,2020-01-03 12:07:33
712,grotiko,22 e. 14 st.  between 1st and 2nd aves,ew yor,212/473-2602,processed,2016-05-09 19:49:49
713,j,37 broadway at 22nd st,ew yor,212/473-8388,processed,2020-03-12 18:40:56
714,lam,04 e. 48th st,ew yor,'212/ 759-0590',processed,2016-02-05 01:21:22
715,alleys end,11 w. 17th st,ew yor,212/627-8899,processed,2016-03-07 15:49:46
716,ambassador grill, united nations plaza at 44th st,ew yor,212/702-5014,processed,2016-09-03 06:32:00
717,american place, park ave. at 32nd st,ew yor,212/684-2122,processed,2020-11-11 14:56:54
718,anche vivolo,22 e. 58th st.  between 2nd and 3rd aves,ew yor,212/308-0112,processed,2022-03-27 08:08:28
719,rizon,06 206 e. 60th st,ew yor,212/838-0440,processed,2015-08-12 10:39:01
720,arturos,06 w. houston st.  off thompson st,ew yor,212/677-3820,processed,2021-08-20 15:19:37
721,au mandarin,00-250 vesey st. world financial cente,ew yor,212/385-0313,processed,2015-11-14 14:45:03
722,bar anise,022 3rd ave.  between 60th and 61st sts,ew yor,212/355-1112,processed,2017-05-07 17:01:11
723,arbett,21 w. 46th st,ew yor,212/246-9171,processed,2022-07-18 21:50:22
724,ben bensons,23 w. 52nd st,ew yor,212/581-8888,processed,2016-07-11 22:34:39
725,big cup,28 8th ave.  between 21st and 22nd sts,ew yor,212/206-0059,processed,2023-09-29 09:03:18
726,billys,48 1st ave.  between 52nd and 53rd sts,ew yor,212/753-1870,processed,2021-06-18 00:24:32
727,boca chica,3 1st ave.  near 1st st,ew yor,212/473-0108,processed,2015-04-28 22:05:56
728,oontha,393a 2nd ave.  between 72nd and 73rd sts,ew yor,212/249-8484,processed,2022-04-09 15:05:01
729,outeri,20 e. 59th st.  off 1st ave,ew yor,212/758-0323,processed,2019-07-03 06:25:20
730,brothers bar-b-q,25 varick st. at clarkston st,ew yor,212/727-2775,processed,2018-01-10 21:33:06
731,run,40 e. 58th st,ew yor,212/688-4190,processed,2021-08-19 01:36:26
732,bryant park grill  roof restaurant and bp cafe,5 w. 40th st.  between 5th and 6th aves,ew yor,212/840-6500,processed,2019-07-27 08:05:40
733,,03 waverly pl.  near washington sq,ew yor,212/254-1200,processed,2023-03-28 19:07:14
734,,11 e. 22nd st.  between park ave. s and lexington ave,ew yor,212/995-8500,processed,2016-06-27 11:12:18
735,cafe bianco,486 2nd ave.  between 77th and 78th sts,ew yor,212/988-2655,processed,2015-02-20 22:16:44
736,cafe botanica,60 central park ,ew yor,212/484-5120,processed,2020-02-20 10:36:54
737,cafe la fortuna,9 w. 71st st,ew yor,212/724-5846,processed,2018-11-09 23:24:38
738,cafe luxembourg,00 w. 70th st,ew yor,212/873-7411,processed,2015-10-28 05:16:47
739,cafe pierre, e. 61st st,ew yor,212/940-8185,processed,2020-07-22 23:06:10
740,cafe centro,00 park ave.  between 45th st. and vanderbilt ave,ew yor,212/818-1222,processed,2019-07-10 18:22:39
741,cafe fes,46 w. 4th st. at charles st,ew yor,212/924-7653,processed,2019-04-09 15:25:59
742,caffe dante,1 macdougal st.  between houston and bleeker sts,ew yor,212/982-5275,processed,2023-01-14 13:31:38
743,caffe dellartista,6 greenwich ave,ew yor,212/645-4431,processed,2020-07-06 09:21:06
744,caffe lure,69 sullivan st.  between houston and bleecker sts,ew yor,212/473-2642,processed,2021-10-23 01:52:47
745,caffe reggio,19 macdougal st.  between 3rd and bleecker sts,ew yor,212/475-9557,processed,2017-12-11 12:39:22
746,caffe roma,85 broome st. at mulberr,ew yor,212/226-8413,processed,2015-12-14 01:37:21
747,caffe vivaldi,2 jones st. at bleecker st,ew yor,212/691-7538,processed,2023-03-13 09:05:10
748,caffe bondi ristorante, w. 20th st,ew yor,212/691-8136,processed,2020-09-01 18:05:45
749,capsouto freres,51 washington st.  near watts st,ew yor,212/966-4900,processed,2015-09-30 08:45:41
750,captains table,60 2nd ave. at 46th st,ew yor,212/697-9538,processed,2019-12-14 09:10:30
751,casa la femme,50 wooster st.  between houston and prince sts,ew yor,212/505-0005,processed,2022-09-07 20:06:19
752,cendrillon asian grill & marimba bar,5 mercer st.  between broome and grand sts,ew yor,212/343-9012,processed,2019-08-24 03:52:09
753,chez jacqueline,2 macdougal st.  between w. houston and bleecker sts,ew yor,212/505-0727,processed,2015-05-14 09:22:55
754,hia,60 e. 48th st,ew yor,212/371-2323,processed,2022-01-07 02:05:36
755,china grill,0 w. 53rd st,ew yor,212/333-7788,processed,2016-08-24 21:29:53
756,it,20 w. 51st st,ew yor,212/956-7100,processed,2023-08-19 20:11:08
757,coco pazzo,3 e. 74th st,ew yor,212/794-0205,processed,2016-07-26 06:16:09
758,columbus bakery,3rd sts,ew yor,212/421-0334,processed,2022-11-17 18:29:02
759,corrado cafe,013 3rd ave.  between 60th and 61st sts,ew yor,212/753-5100,processed,2017-09-19 16:11:49
760,cupcake cafe,22 9th ave. at 39th st,ew yor,212/465-1530,processed,2017-11-08 01:00:26
761,da nico,64 mulberry st.  between grand and broome sts,ew yor,212/343-1212,processed,2022-12-13 09:35:20
762,dean & deluca,21 prince st,ew yor,212/254-8776,processed,2023-06-23 10:51:28
763,iv,41 w. broadway  near grand st,ew yor,212/941-9024,processed,2019-12-22 14:15:25
764,dix et sept,81 w. 10th st,ew yor,212/645-8023,processed,2022-02-05 19:21:44
765,ock,33 3rd ave. at 40th st,ew yor,'212/ 986-8080',processed,2019-04-23 07:05:35
766,duane park cafe,57 duane st.  between w. broadway and hudson st,ew yor,212/732-5555,processed,2022-05-09 17:25:49
767,el teddys,19 w. broadway  between franklin and white sts,ew yor,212/941-7070,processed,2016-07-02 15:45:33
768,emilys,325 5th ave. at 111th st,ew yor,212/996-1212,processed,2020-05-15 17:24:03
769,empire korea, e. 32nd st,ew yor,212/725-1333,processed,2023-12-09 01:16:31
770,ernies,150 broadway  between 75th and 76th sts,ew yor,212/496-1588,processed,2017-02-17 12:15:53
771,evergreen cafe,288 1st ave. at 69th st,ew yor,212/744-3266,processed,2015-09-21 06:10:45
772,f. ille ponte ristorante,9 desbrosses st.  near west st,ew yor,212/226-4621,processed,2023-10-26 08:08:03
773,eli,40 w. broadway at grand st,ew yor,212/431-0021,processed,2015-11-30 16:00:43
774,errie,9 e. 65th st,ew yor,212/772-9000,processed,2015-09-20 13:47:48
775,fifty seven fifty seven,7 e. 57th st,ew yor,212/758-5757,processed,2020-11-03 08:19:31
776,film center cafe,35 9th ave.  between 44th and 45th sts,ew yor,'212/ 262-2525',processed,2016-12-21 00:46:04
777,fiorellos roman cafe,900 broadway  between 63rd and 64th sts,ew yor,212/595-5330,processed,2019-01-23 02:43:41
778,irehous,22 columbus ave.  between 85th and 86th sts,ew yor,212/595-3139,processed,2021-05-14 14:21:11
779,irs,7 1st ave.  between 5th and 6th sts,ew yor,212/674-3823,processed,2022-02-16 19:47:45
780,fishin eddie,3 w. 71st st,ew yor,212/874-3474,processed,2023-07-29 00:08:30
781,fleur de jour,48 e. 62nd st,ew yor,212/355-2020,processed,2023-07-14 05:56:25
782,lower,1 west 17th st.  between 5th and 6th aves,ew yor,212/691-8888,processed,2023-02-24 02:30:51
783,ollonic, w. 24th st,ew yor,212/691-6359,processed,2015-08-18 00:44:16
784,fraunces tavern,4 pearl st. at broad st,ew yor,212/269-0144,processed,2019-09-08 17:31:00
785,french roast,58 6th ave. at 11th st,ew yor,212/533-2233,processed,2019-12-11 21:48:16
786,french roast cafe,340 broadway at 85th st,ew yor,212/799-1533,processed,2018-12-24 18:18:43
787,frico bar,02 w. 43rd st.  off 9th ave,ew yor,212/564-7272,processed,2018-02-02 17:38:33
788,fujiyama mama,67 columbus ave.  between 82nd and 83rd sts,ew yor,212/769-1144,processed,2016-03-05 04:08:23
789,gabrielas,85 amsterdam ave. at 93rd st,ew yor,212/961-0574,processed,2019-11-23 14:35:57
790,gallaghers,28 w. 52nd st,ew yor,212/245-5336,processed,2020-05-18 04:42:10
791,giannis,5 fulton st,ew yor,212/608-7300,processed,2021-09-25 00:20:32
792,iraf,08 e. 58th st.  between 2nd and 3rd aves,ew yor,212/752-3054,processed,2021-05-12 00:34:30
793,loba,3 93 2nd ave.  between 5th and 6th sts,ew yor,212/477-8427,processed,2019-03-11 10:57:11
794,golden unicorn,8 e. broadway at catherine st,ew yor,'212/ 941-0911',processed,2017-05-18 18:45:50
795,grand ticino,28 thompson st.  between w. 3rd and bleecker sts,ew yor,212/777-5922,processed,2021-09-27 18:13:29
796,alcyo,51 w. 54th st.  in the rihga royal hote,ew yor,212/468-8888,processed,2016-01-27 11:01:11
797,hard rock cafe,21 w. 57th st,ew yor,212/489-6565,processed,2016-02-26 09:46:06
798,hi-life restaurant and lounge,340 1st ave. at 72nd st,ew yor,212/249-3600,processed,2016-11-11 09:40:34
799,om,0 cornelia st.  between bleecker and w. 4th st,ew yor,212/243-9579,processed,2016-08-24 14:22:34
800,hudson river club, world financial cente,ew yor,212/786-1500,processed,2019-02-26 01:49:17
801,i trulli,22 e. 27th st.  between lexington and park aves,ew yor,212/481-7372,processed,2020-06-26 15:45:36
802,il cortile,25 mulberry st.  between canal and hester sts,ew yor,212/226-6060,processed,2019-10-11 19:00:12
803,inca grill,92 broome st.  near w. broadwa,ew yor,212/966-3371,processed,2020-05-02 19:55:30
804,ndochin,30 lafayette st.  between 4th st. and astor pl,ew yor,212/505-5111,processed,2022-08-30 07:08:09
805,internet cafe,2 e. 3rd st.  between 1st and 2nd aves,ew yor,'212/ 614-0747',processed,2023-07-26 10:08:51
806,panem,3 w. 46th st,ew yor,212/730-5848,processed,2020-09-14 13:44:59
807,jean lafitte,8 w. 58th st,ew yor,212/751-2323,processed,2017-11-17 21:40:48
808,jewel of india,5 w. 44th st,ew yor,212/869-5544,processed,2019-12-18 01:02:26
